passo 5	a = 0	+dist = 0.3	+ror = 0.9	AV = 0.823607	AV2 = 2.3
passo 6	a = 5	+dist = 0.282843	+ror = 0.8	AV = 0.844019	AV2 = 2.4
passo 7	a = 4	+dist = 0.3	+ror = 0.9	AV = 0.963325	AV2 = 3.1
passo 8	a = 1	+dist = 0.244949	+ror = 0.6	AV = 0.864064	AV2 = 2.6
passo 9	a = 3	+dist = 0.331662	+ror = 1.1	AV = 1.04397	AV2 = 3.7
passo 10	a = 1	+dist = 0.316228	+ror = 1	AV = 0.973236	AV2 = 3.2
passo 11	a = 5	+dist = 0.3	+ror = 0.9	AV = 0.959497	AV2 = 3.3
passo 12	a = 1	+dist = 0.316228	+ror = 1	AV = 0.890394	AV2 = 2.8
passo 13	a = 0	+dist = 0.3	+ror = 0.9	AV = 0.959497	AV2 = 3.3
passo 14	a = 4	+dist = 0.316228	+ror = 1	AV = 1.02613	AV2 = 4
passo 15	a = 5	+dist = 0.3	+ror = 0.9	AV = 0.9	AV2 = 3.5
passo 16	a = 5	+dist = 0.316228	+ror = 1	AV = 0.881913	AV2 = 3
passo 17	a = 4	+dist = 0.3	+ror = 0.9	AV = 0.909095	AV2 = 3.1
passo 18	a = 5	+dist = 0.316228	+ror = 1	AV = 0.881913	AV2 = 3
passo 19	a = 2	+dist = 0.223607	+ror = 0.5	AV = 0.757367	AV2 = 2.1
passo 20	a = 3	+dist = 0.316228	+ror = 1	AV = 0.831815	AV2 = 2.6
passo 21	a = 4	+dist = 0.3	+ror = 0.9	AV = 0.760555	AV2 = 2.3
passo 22	a = 1	+dist = 0.316228	+ror = 1	AV = 0.904863	AV2 = 3.2
passo 23	a = 0	+dist = 0.3	+ror = 0.9	AV = 0.973205	AV2 = 3.7
passo 24	a = 0	+dist = 0.316228	+ror = 1	AV = 1.07108	AV2 = 4.2
passo 25	a = 5	+dist = 0.331662	+ror = 1.1	AV = 1.07932	AV2 = 4.7
passo 26	a = 0	+dist = 0.374166	+ror = 1.4	AV = 1.26719	AV2 = 6.2
passo 27	a = 1	+dist = 0.331662	+ror = 1.1	AV = 1.23288	AV2 = 6.7
passo 28	a = 3	+dist = 0.424264	+ror = 1.8	AV = 1.41754	AV2 = 8
passo 29	a = 4	+dist = 0.412311	+ror = 1.7	AV = 1.46658	AV2 = 9.1
passo 30	a = 4	+dist = 0.424264	+ror = 1.8	AV = 1.35309	AV2 = 8.2
passo 31	a = 5	+dist = 0.412311	+ror = 1.7	AV = 1.35363	AV2 = 7.9
passo 32	a = 1	+dist = 0.4	+ror = 1.6	AV = 1.32882	AV2 = 8
passo 33	a = 1	+dist = 0.412311	+ror = 1.7	AV = 1.3909	AV2 = 7.9
passo 34	a = 2	+dist = 0.316228	+ror = 1	AV = 1.17955	AV2 = 5.8
passo 35	a = 2	+dist = 0.223607	+ror = 0.5	AV = 1.08753	AV2 = 5.1
passo 36	a = 1	+dist = 0.282843	+ror = 0.8	AV = 1.14617	AV2 = 5.6
passo 37	a = 4	+dist = 0.3	+ror = 0.9	AV = 1.35498	AV2 = 7.5
passo 38	a = 5	+dist = 0.282843	+ror = 0.8	AV = 1.38647	AV2 = 8
passo 39	a = 1	+dist = 0.360555	+ror = 1.3	AV = 1.51075	AV2 = 9.1
passo 40	a = 1	+dist = 0.447214	+ror = 2	AV = 1.68161	AV2 = 10.8
passo 41	a = 3	+dist = 0.5	+ror = 2.5	AV = 1.67909	AV2 = 10.5
passo 42	a = 5	+dist = 0.509902	+ror = 2.6	AV = 1.74452	AV2 = 10.8
passo 43	a = 1	+dist = 0.591608	+ror = 3.5	AV = 2.00762	AV2 = 14.1
passo 44	a = 0	+dist = 0.509902	+ror = 2.6	AV = 1.98934	AV2 = 14.6
passo 45	a = 3	+dist = 0.574456	+ror = 3.3	AV = 1.93016	AV2 = 13.9
passo 46	a = 4	+dist = 0.565685	+ror = 3.2	AV = 2.02918	AV2 = 15.8
passo 47	a = 3	+dist = 0.640312	+ror = 4.1	AV = 2.12327	AV2 = 16.7
passo 48	a = 0	+dist = 0.583095	+ror = 3.4	AV = 2.15062	AV2 = 16.8
passo 49	a = 1	+dist = 0.640312	+ror = 4.1	AV = 2.20352	AV2 = 17.5
passo 50	a = 5	+dist = 0.648074	+ror = 4.2	AV = 2.31976	AV2 = 19
passo 51	a = 5	+dist = 0.67082	+ror = 4.5	AV = 2.36634	AV2 = 19.5
